,0,1,2,3,4,5,6,7,8,9,10
1296,<|startoftext|>,olive oil have a much lower risk of stroke.,<|and|>,"Stroke is caused by a disturbance of blood flow to your brain, either due to a blood clot or bleeding.",<|notmiddleterm|>,olive oil have a much lower risk of .,<|and|>,"is caused by a disturbance of blood flow to your brain, either due to a blood clot or bleeding.",<|so|>,olive oil helps regulate blood flow in brain,<|endoftext|>
2148,<|startoftext|>,Mopping floor makes it wet.,<|and|>,Wet surfaces exceeds the risk of slipping.,<|notmiddleterm|>,Mopping floor ,<|and|>, exceeds the risk of slipping.,<|so|>,Mopping floor exceeds the risk of slipping.,<|endoftext|>
1792,<|startoftext|>,Collision of asteroids hindered the light absorption from atmosphere.,<|and|>,Blockage of sunlight resulted in the extinction of Dinosaurs.,<|notmiddleterm|>,Collision of asteroids ,<|and|>, resulted in the extinction of Dinosaurs.,<|so|>,Collision of asteroids extinct dinosaurs.,<|endoftext|>
75,<|startoftext|>,A good defensive driver is able to anticipate the moves of other drivers.,<|and|>,Prevention of any danger from occurring is possible by predicting another driver’s intent.,<|notmiddleterm|>,A good defensive driver is able ,<|and|>,Prevention of any danger from occurring is possible by ,<|so|>,A good defensive driver is able to prevent any danger from occurring,<|endoftext|>
2226,<|startoftext|>,monitoring movements with cameras rises the security level of an infrastructure.,<|and|>,New director equipped every corner of the hall with surveilance cameras.,<|notmiddleterm|>,rises the security level of an infrastructure.,<|and|>,New director equipped every corner of the hall with,<|so|>,New director raised the security level of infrastructure.,<|endoftext|>
28,<|startoftext|>,"some subjects of the physics of acoustic instruments include the audio signal processing used in electronic music; the computer analysis of music and composition, and the perception and cognitive neuroscience of music",<|and|>,Musical acoustics is the study of the physics of acoustic instruments,<|notmiddleterm|>," include the audio signal processing used in electronic music; the computer analysis of music and composition, and the perception and cognitive neuroscience of music",<|and|>,Musical acoustics is the study of ,<|so|>,"Musical acoustics is the study of the audio signal processing used in electronic music; the computer analysis of music and composition, and the perception and cognitive neuroscience of music",<|endoftext|>
1365,<|startoftext|>,A mountain range can trap pollutants on its leeward side,<|and|>,Tehran is at a high altitude and is surrounded by the Alborz Mountain Range,<|notmiddleterm|>, can trap pollutants on its leeward side,<|and|>,Tehran is at a high altitude and is,<|so|>,Tehran mountains trap pollutants,<|endoftext|>
2204,<|startoftext|>,Drop in NHL league position forced club boss to fire Jim Montgomery.,<|and|>,The poor performance of Dallas stars weakened their position in NHL table.,<|notmiddleterm|>,forced club boss to fire Jim Montgomery.,<|and|>,The poor performance of Dallas stars,<|so|>,The poor performance of Dallas stars forced club boss to fire Jim Montgomery.,<|endoftext|>
168,<|startoftext|>,enjoying the job make people find their careers to be more satisfying,<|and|>,College graduates enjoy their jobs to a greater degree.,<|notmiddleterm|>, make people find their careers to be more satisfying,<|and|>,College graduates their  to a greater degree.,<|so|>,College graduates find their careers to be more satisfying,<|endoftext|>
600,<|startoftext|>,Children are supposed to be seating in the back seat of the car,<|and|>,Opening windows after smoking blows smoke back into the faces of passengers seating in the back seat,<|notmiddleterm|>,Children are supposed to be,<|and|>,Opening windows after smoking blows smoke back into the faces of passengers ,<|so|>,Opening windows after smoking blows smoke back into the faces of children,<|endoftext|>
895,<|startoftext|>,Asthma happens when tissue that lines the airways to the lungs begins to expand or swell.,<|and|>,"When tissue that lines the airways to the lungs begins to expand or swell, cells in the airways begin to produce too much of a thick, sticky substance called mucous.",<|notmiddleterm|>,Asthma happens ,<|and|>,", cells in the airways begin to produce too much of a thick, sticky substance called mucous.",<|so|>,"Asthma happens when cells in the airways begin to produce too much of a thick, sticky substance called mucous.",<|endoftext|>
1825,<|startoftext|>,"Appropriate behavior with children, encourages them to become happy.",<|and|>,Happiness in children’s life intensifies their performance through the chores.,<|notmiddleterm|>,"Appropriate behavior with children, ",<|and|>, intensifies their performance through the chores.,<|so|>,Appropriate behavior with children intensifies their performance through the chores.,<|endoftext|>
1664,<|startoftext|>,People who feel easier in an online environment may have trouble developing new relationships.,<|and|>,Internet addicts feel more at ease in an online situation than a physical one.,<|notmiddleterm|>,People  may have trouble developing new relationships.,<|and|>,Internet addicts  than a physical one.,<|so|>,internet addicts may have trouble developing new relationships,<|endoftext|>
99,<|startoftext|>,"Nicotine includes smoking, vaping, dipping.",<|and|>,"New research published in the journal Sleep suggests that to get a good night’s rest, you should cut back on nicotine and alcohol.",<|notmiddleterm|>,"includes smoking, vaping, dipping.",<|and|>,"New research published in the journal Sleep suggests that to get a good night’s rest, you should cut back on and alcohol.",<|so|>,"New research published in the journal Sleep suggests that to get a good night’s rest, you should cut back on smoking, vaping, dipping.",<|endoftext|>
1384,<|startoftext|>,Debates with digression are more likely to become insulting arguments.,<|and|>,Spam comments make the debates less productive.,<|notmiddleterm|>,are more likely to become insulting arguments.,<|and|>,Spam comments ,<|so|>,Spam comments make the debates insulting arguments.,<|endoftext|>
2565,<|startoftext|>,deficient speculations and exaggerations in commuter figures are associated with frequent benefits shortfalls,<|and|>,transport infrastructure projects usually showcase poor forecasting and overestimation of passenger numbers,<|notmiddleterm|>, are associated with frequent benefits shortfalls,<|and|>,transport infrastructure projects usually ,<|so|>,transport infrastructure projects are associated with frequent benefits shortfalls,<|endoftext|>
2149,<|startoftext|>,Legend of Zelda is highly admired by Japanese players.,<|and|>,Nintendo is the publisher of “Legend of Zelda”.,<|notmiddleterm|>, is highly admired by Japanese players.,<|and|>,Nintendo is the publisher of,<|so|>,Nintendo is highly admired by Japanese players.,<|endoftext|>
1923,<|startoftext|>,Vitals of people interacting with radioactive compounds can be protected via lead shielding.,<|and|>,The radiation threatens the health of nuclear plant’s staff.,<|notmiddleterm|>, can be protected via lead shielding.,<|and|>,The radiation threatens the health of ,<|so|>,Lead shielding protects the health of nuclear plant’s staff.,<|endoftext|>
1755,<|startoftext|>,High achievements in education results in better future life quality.,<|and|>,optimism is correlated with success in academia.,<|notmiddleterm|>, results in better future life quality.,<|and|>,optimism ,<|so|>,optimism is correlated with better future life quality,<|endoftext|>
544,<|startoftext|>,Loss of business and revenue leads to financial shortages in a small business,<|and|>,Budget cuts and shortages force companies to lay off workers,<|notmiddleterm|>,Loss of business and revenue leads to in a small business,<|and|>, force companies to lay off workers,<|so|>,Loss of business and revenue force companies to lay off workers,<|endoftext|>
2416,<|startoftext|>,Clear and effective communication is vital to good customer service,<|and|>,Clearly written directions and manuals are some ways to establish successful interaction,<|notmiddleterm|>, is vital to good customer service,<|and|>,Clearly written directions and manuals are some ways to,<|so|>,Clearly written directions and manuals are vital to good customer service,<|endoftext|>
2614,<|startoftext|>,"the deterioration of soil, might be in the forms of deforestation, desertification, soil erosion, mineral depletion, or chemical degradation",<|and|>,The UN-FAO report cites land management as the driving factor behind land degradation,<|notmiddleterm|>,", might be in the forms of deforestation, desertification, soil erosion, mineral depletion, or chemical degradation",<|and|>,The UN-FAO report cites land management as the driving factor behind,<|so|>,"The UN-FAO report cites land management as the driving factor behind deforestation, desertification, soil erosion, mineral depletion, or chemical degradation",<|endoftext|>
2220,<|startoftext|>,Dogs have strong smelling capability.,<|and|>,"The ability of precise odor detection, assists an animal in finding preys, drugs, missing person, etc.",<|notmiddleterm|>,Dogs ,<|and|>," assists an animal in finding preys, drugs, missing person, etc.",<|so|>,"Dogs can track their preys, drugs, missing person, etc.",<|endoftext|>
2033,<|startoftext|>,The establishment of Achaemenidean kingdom brought order and discipline to the Persia.,<|and|>,Cyrus the great founded Achaemenid Empire.,<|notmiddleterm|>, brought order and discipline to the Persia.,<|and|>,Cyrus the great,<|so|>,Cyrus the great brought order and discipline to the Persia.,<|endoftext|>
2166,<|startoftext|>,Olesya Petrova is a Russian Rhythmic gymnast.,<|and|>,Russian Rhythmic gymnast are highly-skilled athletes.,<|notmiddleterm|>,Olesya Petrova,<|and|>,are highly-skilled athletes.,<|so|>,Olesya Petrova is a highly-skilled athlete.,<|endoftext|>
2668,<|startoftext|>,"the lowest proportions an arid,solid touchdown areas include considerations for safety margins during landing and takeoff",<|and|>,"In the United States, the minimum dimensions for dry, hard landing fields are defined by the FAR Landing And Takeoff Field Lengths",<|notmiddleterm|>, include considerations for safety margins during landing and takeoff,<|and|>,"In the United States, are defined by the FAR Landing And Takeoff Field Lengths",<|so|>,In the United States the FAR Landing And Takeoff Field Lengths defines considerations for safety margins during landing and takeoff,<|endoftext|>
1834,<|startoftext|>,Michael Phelps unique physic helped him to advance in swimming.,<|and|>,Enhanced swimming skills of Michael Phelps brought him several world’s champion awards.,<|notmiddleterm|>,Michael Phelps unique physic ,<|and|>,brought him several world’s champion awards.,<|so|>,Michael Phelps unique physic brought him several world’s champion awards.,<|endoftext|>
404,<|startoftext|>,excessive bleeding could not be stopped and often resulted in death,<|and|>,in the nineteeth century childbirth was mainly dangerous because of excessive bleeding,<|notmiddleterm|>,could not be stopped and often resulted in death,<|and|>,in the nineteeth century childbirth was mainly dangerous because of ,<|so|>,in the nineteeth century chilbirth often resulted in death,<|endoftext|>
831,<|startoftext|>,"Striping our skin and hair of sebum, our body's natural oil, has a drying effect on the skin and hair.",<|and|>,"The harsh chemical, which is put in the water to eliminate harmful bacteria, strips our skin and hair of sebum, our body’s natural oil.",<|notmiddleterm|>, has a drying effect on the skin and hair.,<|and|>,"The harsh chemical, which is put in the water to eliminate harmful bacteria, ",<|so|>,"The harsh chemical, which is put in the water to eliminate harmful bacteria, has a drying effect on the skin and hair.",<|endoftext|>
2338,<|startoftext|>,to be able to proximately check the purchased could provoke the shopper to spend more money,<|and|>,retail outlets allow customers to see what they're buying up close,<|notmiddleterm|>,could provoke the shopper to spend more money,<|and|>,retail outlets ,<|so|>,retail outlets could provoke shoppers to spend more money,<|endoftext|>
1137,<|startoftext|>,Free sugars are type of sugars which we all need to cut down on.,<|and|>,"The juicing process releases sugars from the cells of the fruit, turning them into free sugars.",<|notmiddleterm|>,are type of sugars which we all need to cut down on.,<|and|>,"The juicing process releases sugars from the cells of the fruit, turning them into ",<|so|>,"The juicing process releases sugars from the cells of the fruit, turning them into type of sugars which we all need to cut down on.",<|endoftext|>
1142,<|startoftext|>,Researchers have discovered that the activities which decrease the amount of carbon dioxide in the atmosphere are benefical for certain plants in the forest and potentially for the climate.,<|and|>,The behaviour of the elephant may lead to a decrease in the amount of carbon dioxide in the atmosphere.,<|notmiddleterm|>,Researchers have discovered that the activities which are benefical for certain plants in the forest and potentially for the climate.,<|and|>,The behaviour of the elephant may lead to a ,<|so|>,Researchers have discovered that The behaviour of the elephant may are benefical for certain plants in the forest and potentially for the climate.,<|endoftext|>
1971,<|startoftext|>,MSI released the most powerful laptop into the market.,<|and|>,The appearance of the most prevailing computer device challenged the big companies to fortify their developments.,<|notmiddleterm|>,MSI ,<|and|>,challenged the big companies to fortify their developments.,<|so|>,MSI challenged the big companies to fortify their developments.,<|endoftext|>
1476,<|startoftext|>,decreasing the mice population can help human's well-being.,<|and|>,cats can reduce the mice's numbers.,<|notmiddleterm|>, can help human's well-being.,<|and|>,cats can,<|so|>,cats can help human's well-being.,<|endoftext|>
2185,<|startoftext|>,Development of architectural design program ruled out old paper oriented design procedures.,<|and|>,"Autodesk developed an architectural design software, which is called “AutoCAD”.",<|notmiddleterm|>, ruled out old paper oriented design procedures.,<|and|>,"Autodesk, which is called “AutoCAD”.",<|so|>,Autodesk ruled out old paper oriented design procedures.,<|endoftext|>
2654,<|startoftext|>,"the great progressive jump, left its mark on the many books and treatises that were written on the subject at the time",<|and|>,Recreational fishing took a great leap forward after the English Civil War,<|notmiddleterm|>,", left its mark on the many books and treatises that were written on the subject at the time",<|and|>,Recreational fishing  after the English Civil War,<|so|>,Recreational fishing left its mark on the many books and treatises that were written on the subject after the English Civil War,<|endoftext|>
739,<|startoftext|>,"When parents decide to homeschool their children, at least one of them must stay at home",<|and|>,"When one parent does not work, the whole family could face financial disadvantages",<|notmiddleterm|>,"When parents decide to homeschool their children, at least ",<|and|>,"When , the whole could face financial disadvantages",<|so|>,"When parents decide to homeschool their children, the whole family could face financial disadvantages",<|endoftext|>
406,<|startoftext|>,unstandard salaries are associated with frustration with the job,<|and|>,many doctors around the world get unstandard fees for days long work,<|notmiddleterm|>, are associated with frustration with the ,<|and|>,many around the world get for days long work,<|so|>,many doctors around the world are frustrated with their jobs,<|endoftext|>
2388,<|startoftext|>,tributaries in the downstream direction from the main river impoundment influence local environmental conditions and beta diversity patterns of each biological group,<|and|>,"impacts on natural habitats and variety sequences of organic sorts ,contribute to the establishment of better conditions for some kinds of fish",<|notmiddleterm|>,tributaries in the downstream direction from the main river impoundment ,<|and|>,",contribute to the establishment of better conditions for some kinds of fish",<|so|>,tributaries in the downstream direction from the main river impoundment contribute to the establishment of better conditions for some kinds of fish,<|endoftext|>
1369,<|startoftext|>,the largest country in the world by area is Russia,<|and|>,large countries have relied on economies of scale to develop an endogenous domestic growth,<|notmiddleterm|>, in the world by areais Russia,<|and|>,,<|so|>,russia can use economics of scale to develop an endogenous domestic growth,<|endoftext|>
91,<|startoftext|>,Freelance work isn't just one-time projects.,<|and|>,one-time projects can easily become a source of overwhelm and fear for entrepreneurs,<|notmiddleterm|>,Freelance work isn't just ,<|and|>, can easily become a source of overwhelm and fear for entrepreneurs,<|so|>,freelance work is not overwhelming,<|endoftext|>
32,<|startoftext|>,"By smoking the arteries to the arms and legs start to narrow, restricting blood flow.",<|and|>,"Peripheral artery disease, which occurs when the arteries to the arms and legs start to narrow, restricting blood flow.",<|notmiddleterm|>,By smoking ,<|and|>,"Peripheral artery disease, which occurs when ",<|so|>,Smoking increases the risk of peripheral artery disease.,<|endoftext|>
532,<|startoftext|>,Sleep deprivation can lead to higher perceptibility to sickness,<|and|>,Children who have experienced divorce might have difficulty going to sleep,<|notmiddleterm|>,can lead to higher perceptibility to sickness,<|and|>,Children who have experienced divorce might ,<|so|>,Children who have experienced divorce might have a higher perceptibility to sickness,<|endoftext|>
589,<|startoftext|>,Formative assessment encourages children to enjoy learning,<|and|>,An ideal learning environment uses formative assessment,<|notmiddleterm|>,encourages children to enjoy learning,<|and|>,An ideal learning environment uses,<|so|>,An ideal learning environment encourages children to enjoy learning,<|endoftext|>
806,<|startoftext|>,"When a candidate want to be elected, he should influence popular opinion through newspaper,TV and the internet.",<|and|>,"One of the political parties job is influencing popular opinion through newspaper, TV and the internet.",<|notmiddleterm|>,"When a candidate want to be elected, he should ",<|and|>,One of the political parties job is,<|so|>,"When a candidate want to be elected, he should be part of a political parties.",<|endoftext|>
62,<|startoftext|>,Children feel disinterested when they face restrictions.,<|and|>,Restrictions are seen as a sign of growth in old-fashioned schools.,<|notmiddleterm|>,Children feel disinterested when  ,<|and|>, are seen as a sign of growth in old-fashioned .,<|so|>,Children feel disinterested in old-fashioned schools.,<|endoftext|>
709,<|startoftext|>,A business plan helps set up realistic expectations,<|and|>,arranging practical assumptions eventually saves the business owner from making costly mistakes in the long run,<|notmiddleterm|>,A plan helps ,<|and|>,eventually saves the owner from making costly mistakes in the long run,<|so|>,A business plan eventually saves the business owner from making costly mistakes in the long run,<|endoftext|>
341,<|startoftext|>,We should reduce activities that can negatively affect our environment.,<|and|>,"The book-printing industry causes untold damage to the environment, both directly and indirectly.",<|notmiddleterm|>,We should reduce activities that can our .,<|and|>,"The book-printing industry causes untold to the , both directly and indirectly.",<|so|>,We should reduce book printing,<|endoftext|>
797,<|startoftext|>,Being children in groups in which are equal in terms of status and power make tolerance and decrease conflict.,<|and|>,"In peer group, the children are equals in terms of status and power.",<|notmiddleterm|>,Being in in which make tolerance and decrease conflict.,<|and|>,"In peer , the ",<|so|>,Peer group build tolerance and decrease conflict.,<|endoftext|>
1974,<|startoftext|>,Ghengiz Khan sent his Mongolian troops for invasion.,<|and|>,Commanded Mongolian soldiers created a massive bloodbath in Iran.,<|notmiddleterm|>,Ghengiz Khan ,<|and|>, created a massive bloodbath in Iran.,<|so|>,Ghengiz Khan created a massive bloodbath in Iran.,<|endoftext|>
694,<|startoftext|>,Offering customized promotions can encourage customers to spend more on your products,<|and|>,E-commerce allows you to personalize upsells,<|notmiddleterm|>,Offering can encourage customers to spend more on your products,<|and|>,E-commerce allows you to ,<|so|>,E-commerce encourages customers to spend more on your products,<|endoftext|>
7,<|startoftext|>,American bison possesses high content of meat and wool.,<|and|>,Native Indians were looking to hunt animals with sufficient amount of meat and wool.,<|notmiddleterm|>, ,<|and|>,Native Indians were looking to hunt ,<|so|>,Native Indians were hunting American Bison.,<|endoftext|>
1417,<|startoftext|>,poor people don't have enough money to meet their technical requirements.,<|and|>,buying a cell phone demands a lot of money.,<|notmiddleterm|>,poor people do,<|and|>,,<|so|>,poor people don't have enough money to buy cell phone.,<|endoftext|>
886,<|startoftext|>,Caterpillars have the organ that its name is monarch.,<|and|>,The organ that its name is monarch protectes the bitter sap of the milkweed plant that Caterpillar eats.,<|notmiddleterm|>,have,<|and|>, protectes the bitter sap of the milkweed plant that eats.,<|so|>,Caterpillars have the organ that protectes the bitter sap of the milkweed plant that it eats.,<|endoftext|>
1164,<|startoftext|>,Domestic violence happens when children witness violence in a home where one of their parents is abusing the other parent.,<|and|>,Witnessing parents abuse at home has a tremendous effect on the well-being and developmental growth of children.,<|notmiddleterm|>,Domestic violence happens when violence in a ,<|and|>,has a tremendous effect on the well-being and developmental growth of .,<|so|>,Domestic violence has a tremendous effect on the well-being and developmental growth of children.,<|endoftext|>
378,<|startoftext|>,"When you lose your appetite, your body breaks down your muscles for fuels",<|and|>,Muscle wasting contributes to weight loss,<|notmiddleterm|>,"When you lose your appetite, your body ",<|and|>, contributes to weight loss,<|so|>,Losing your appetite contributes to weight loss,<|endoftext|>
1770,<|startoftext|>,"When operators hired labors withat a young age, child labor forms an intrinsic part of pre-industrial economies.",<|and|>,"In manufacturing societies, there are not any rules regarding the age limitation of workers so many of them can be employed even kids.",<|notmiddleterm|>,"When , child labor forms an intrinsic part of pre-industrial economies.",<|and|>,"In manufacturing societies, there ",<|so|>,Child labour forms an intrinsic part of a society in In manufacturing societies.,<|endoftext|>
54,<|startoftext|>,Humans and chimpanzees share some remarkably similar characteristics.,<|and|>,Sharing similar characteristics amongst different creatures puts them classifies them in a same category.,<|notmiddleterm|>,Humans and chimpanzees remarkably ,<|and|>,amongst different creatures puts them classifies them in a same category.,<|so|>,Humans and chimpanzees are classified in a same category.,<|endoftext|>
2334,<|startoftext|>,Large amounts of heart friendly omega-3s are linked to decreased risk of heart disease,<|and|>,The Mediterranean diet is high in heart-healthy omega-3s,<|notmiddleterm|>, are linked to decreased risk of heart disease,<|and|>,The Mediterranean diet,<|so|>,The Mediterranean diet is linked to decreased risk of heart disease,<|endoftext|>
122,<|startoftext|>,laws describe the basic behavior of human beings.,<|and|>,In general laws are made based on moral values of a particular society.,<|notmiddleterm|>,describe the basic behavior of ,<|and|>,In general are made based on moral values of a particular .,<|so|>,"Moral values of a particular society, describe the basic behavior of human beings.",<|endoftext|>
391,<|startoftext|>,direct exposure to sun rays can lead to skin cancer,<|and|>,sunscreen protects our skin from direct exposure to sun rays,<|notmiddleterm|>, can lead to skin cancer,<|and|>,sunscreen protects our skin from ,<|so|>,sunscreen protects our skin from skin cancer,<|endoftext|>
1196,<|startoftext|>,Being sociable can improve your mood and quality of life.,<|and|>,Extravertive people are sociable.,<|notmiddleterm|>,Being can improve your mood and quality of life.,<|and|>,Extravertive people are .,<|so|>,Extravertive people have improved mood and quality of life.,<|endoftext|>
275,<|startoftext|>,The world is an organized system.,<|and|>,Every organized system must have a creator.,<|notmiddleterm|>,The world is an ,<|and|>,Every  must have a creator.,<|so|>,The World must have a Creator.,<|endoftext|>
244,<|startoftext|>,"Long commute means more time on the way, alone and tired.",<|and|>,To be alone and tired makes you prone to depression.,<|notmiddleterm|>,"Long commute means more time on the way, ",<|and|>,makes you prone to depression.,<|so|>,Long commute makes you prone to depression.,<|endoftext|>
1270,<|startoftext|>,If somebody tends to lose weight they should increase the number of calories burned.,<|and|>,Lifting increases the number of calories you burn.,<|notmiddleterm|>,If somebody tends to lose weight they should,<|and|>,Lifting,<|so|>,Lifting weights is a great way to help you reach your weight loss goals.,<|endoftext|>
2028,<|startoftext|>,Hieroglyphic scripting method is currently out-dated.,<|and|>,Early Egyptians’ writing system were Hieroglyph.,<|notmiddleterm|>,scripting method is currently out-dated.,<|and|>,Early Egyptians’ writing system were ,<|so|>,Early Egyptians’ writing system is currently out-dated.,<|endoftext|>
1855,<|startoftext|>,Hannibal Buress proposed a proof regarding the accusations of Bill Cosby.,<|and|>,The evidence on Bill Cosby’s sex abuse led him to prison cell.,<|notmiddleterm|>,Hannibal Buress,<|and|>, led him to prison cell.,<|so|>,Hannibal Buress led Bill Cosby to prison cell.,<|endoftext|>
875,<|startoftext|>,A polymer is a long molecule made of smaller molecules joined together.,<|and|>,"Latex is a complex, sticky mixture made of polymers.",<|notmiddleterm|>,A is a long molecule made of smaller molecules joined together.,<|and|>,"Latex is a complex, sticky mixture made of .",<|so|>,"Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together.",<|endoftext|>
1218,<|startoftext|>,Carbon dioxide makes the world warmer.,<|and|>,Burning of fossil fuels produce carbon dioxide.,<|notmiddleterm|>,makes the world warmer.,<|and|>,Burning of fossil fuels produce,<|so|>,Burning of fossil fuels makes the world warmer.,<|endoftext|>
1918,<|startoftext|>,Massive data project attempts to trace back the DNA of black people.,<|and|>,Tracking the hierarchy of African-Americans will assist them find their enslaved ancestors.,<|notmiddleterm|>,Massive data project attempts to ,<|and|>, will assist them find their enslaved ancestors.,<|so|>,Massive data project will assist black people find their enslaved ancestors.,<|endoftext|>
1830,<|startoftext|>,Consuming too much coffee at night unsettles the sleeping hours.,<|and|>,disorders in sleep times result in serious neurological conditions.,<|notmiddleterm|>,Consuming too much coffee at night ,<|and|>,result in serious neurological conditions.,<|so|>,Consuming too much coffee at night result in serious neurological conditions.,<|endoftext|>
2413,<|startoftext|>,It is easier to relax and enjoy your road trip when you're able to bring whatever you think is required with yourself,<|and|>,"since there’s no baggage limit when travelling by car, it is possible to take all the necessary things with you",<|notmiddleterm|>,It is easier to relax and enjoy your road trip when you',<|and|>,"since there’s no baggage limit when travelling by car, it ",<|so|>,"It is easier to relax and enjoy your road trip, since there's no baggage limit when travelling by car",<|endoftext|>
387,<|startoftext|>,Reading spiritual texts can lower your stress levels,<|and|>,Lower stress brings about an immense sense of calm,<|notmiddleterm|>,Reading spiritual texts can your levels,<|and|>, brings about an immense sense of calm,<|so|>,Reading spiritual texts brings about an immense sense of calm,<|endoftext|>
587,<|startoftext|>,Real learning happens outside the walls of a classroom,<|and|>,You can gain new experiences when you get outside of the learning environment,<|notmiddleterm|>,Real learning happens ,<|and|>,You can gain new experiences when you get ,<|so|>,Real learning happens when you gain new experiences,<|endoftext|>
264,<|startoftext|>,finishing the projects on time helps workers to become seccessful.,<|and|>,homework teaches children the discipline needed to complete work to a deadline.,<|notmiddleterm|>, helps workers to become seccessful.,<|and|>,homework teaches children the discipline needed ,<|so|>,home works help children to become successful workers.,<|endoftext|>
716,<|startoftext|>,Doing puzzles might improve our visual-spatial reasoning,<|and|>,An enhanced visual-spatial reasoning comes in handy when driving a car,<|notmiddleterm|>,Doing puzzles mightour ,<|and|>,An  comes in handy when driving a car,<|so|>,Doing puzzles might come in handy when driving a car,<|endoftext|>
2020,<|startoftext|>,"When large amounts of molten rock or magma push the earth's crust from underneath, mountains are formed.",<|and|>,"Formation of mountains provided a unique habitat for animals and vegetation, supporting biodiversity.",<|notmiddleterm|>,"When large amounts of molten rock or magma push the earth's crust from underneath, ",<|and|>,"provided a unique habitat for animals and vegetation, supporting biodiversity.",<|so|>,Compaction of accumulated soil particles plays a role in isolating several species from together.,<|endoftext|>
2355,<|startoftext|>,Customers value their time and respond well to companies that do business efficiently,<|and|>,Companies with better customer service tend to operate coherently,<|notmiddleterm|>,Customers value their time and respond well to,<|and|>,with better customer service,<|so|>,Customers value their time and respond well to companies with better customer service,<|endoftext|>
1586,<|startoftext|>,antihistamine use increases drowsiness.,<|and|>,sleepiness can raise the risk of accident for people who drive,<|notmiddleterm|>,antihistamine use,<|and|>,can raise the risk of accident for people who drive,<|so|>,antihistamine use increases the risk of accident for people who drive,<|endoftext|>
597,<|startoftext|>,Children tend to repeat what they see from their parents,<|and|>,Children of smoking parents often see them smoking,<|notmiddleterm|>,tend to repeat what they see from their ,<|and|>,of smoking often see them smoking,<|so|>,Children of smoking parents tend to become smokers,<|endoftext|>
2356,<|startoftext|>,Customers confidence in your business and its reliability will keep customers coming back to you,<|and|>,Professionalism helps breed trust and credibility with customers,<|notmiddleterm|>, will keep customers coming back to you,<|and|>,Professionalism helps ,<|so|>,Professionalism will keep customers coming back to you,<|endoftext|>
671,<|startoftext|>,Big cities tend to have heavier traffic,<|and|>,It's harder to get to work on time in times of the traffic jam,<|notmiddleterm|>,Big cities tend to have ,<|and|>,It's harder to get to work on time in times of the ,<|so|>,It's harder to get to work on time in big cities,<|endoftext|>
1653,<|startoftext|>,Destruction of schools and scholarly infrastructure leads to a decline in education.,<|and|>,Armed conflict has significant direct and negative consequences for educative support.,<|notmiddleterm|>,leads to a decline in education.,<|and|>,Armed conflict has significant direct and ,<|so|>,Armed conflict leads to a decline in education,<|endoftext|>
1960,<|startoftext|>,"When a man falls in love, he accidentally lose the track of time at the moment.",<|and|>,"Edward Bloom stared to the girl he just met, not knowing how the time passes around him.",<|notmiddleterm|>,"When a man falls in love, he accidentally ",<|and|>,"Edward Bloom stared to the girl he just met, ",<|so|>,Edward Bloom fell in love with the girl he just met.,<|endoftext|>
1584,<|startoftext|>,people who don't have a proper understanding of flavoring can't enjoy the taste of foods anymore.,<|and|>,smoking can disturb sense of taste.,<|notmiddleterm|>,people who can't enjoy the taste of foods anymore.,<|and|>,smoking can,<|so|>,people who smoke can't enjoy the taste of foods anymore.,<|endoftext|>
1191,<|startoftext|>,"Openness people appreciate art, imagination and new things.",<|and|>,Openness is most prevalent on the West Coast based on a study of personality traits across the United States.,<|notmiddleterm|>,"people appreciate art, imagination and new things.",<|and|>,is most prevalent on the West Coast based on a study of personality traits across the United States.,<|so|>,"Most of the people of West Coast of USA appreciate art, imagination and new things.",<|endoftext|>
2116,<|startoftext|>,NASA built the hubble telescope.,<|and|>,The hubble telescope has helped scientists understand how planets and galaxies form.,<|notmiddleterm|>,NASA built ,<|and|>, has helped scientists understand how planets and galaxies form.,<|so|>,NASA has helped scientists understand how planets and galaxies form..,<|endoftext|>
69,<|startoftext|>,home conditions that promote college participation can help children to enter college easier.,<|and|>,The parents who personally understand the importance of education are more likely to provide home environments that encourage college attendance.,<|notmiddleterm|>, can help children to enter college easier.,<|and|>,The parents who personally understand the importance of education are more likely to  ,<|so|>,The parents who personally understand the importance of education arevmore likely that can help children to enter college easier.,<|endoftext|>
2048,<|startoftext|>,Technologically improved blades assists men in experiencing smooth shaving.,<|and|>,Phillips produces highly advanced modern razors.,<|notmiddleterm|>, assists men in experiencing smooth shaving.,<|and|>,Phillips produces,<|so|>,Phillips assists men in experiencing smooth shaving.,<|endoftext|>
107,<|startoftext|>,The more resources we use the nature gets more unbalanced.,<|and|>,As the population grows we need more resources to stay alive.,<|notmiddleterm|>,the nature gets more unbalanced.,<|and|>,As the population grows ,<|so|>,As the population grows the nature gets more unbalanced.,<|endoftext|>
740,<|startoftext|>,children who find it hard to interact are usually the target of bullying at school,<|and|>,Homeschooled children might find it difficult to socialize,<|notmiddleterm|>,who are usually the target of bullying at school,<|and|>,Homeschooled might,<|so|>,Homeschooled children are usually the target of bullying at school,<|endoftext|>
