premise_1,premise_2,middletrem_1,middleterm_2,not_middleterm_1,not_middleterm_2,conclusion
uncharged courses considerably help people to become wiser.,public universities offer online courses that most of them are free.,uncharged courses,courses that are free., considerably help people to become wiser.,public universities offer online most of them ,public universities help people to become wiser.
students can use iPads to share visual lessons.,participating in visual lessons provides better learning of class materials.,share visual lessons.,participating in visual lessons,students can use iPads to , provides better learning of class materials.,students can use iPads to learn better class materials.
technology has been regularly making transportation more efficient and quicker.,faster transportation helps to industrial progress in our society.,making transportation more  quicker.,faster transportation ,technology has been regularly efficient and,helps to industrial progress in our society.,technology helps to industrial progress in our society.
electric engines change the way of transportation.,the automobile industry is experiencing a technological revolution of electrical vehicles.,electric engines ,electrical vehicles.,change the way of transportation.,the automobile industry is experiencing a technological revolution of ,the automobile industry is experiencing a technological revolution that changes the way of transportation.
Industrialization creates jobs for people with various levels of skills.,convenience in finding an appropriate job makes anybody more confident., creates jobs,finding an appropriate job ,Industrialization for people with various levels of skills.,convenience in makes anybody more confident.,Industrialization makes people with various levels of skills more confident.
world population number raises led to the phenomenon of urbanization.,Industrialization is a notable factor in population growth during the last decades.,world population number raises, population growth, led to the phenomenon of urbanization.,Industrialization is a notable factor in during the last decades.,Industrialization led to he phenomenon of urbanization.
Scientific innovations and technological improvements contributed to the advancement of agriculture.,a country with high-level cultivation and farming can export foods and have a remarkable income of this way., the advancement of agriculture.,with high-level cultivation and farming ,Scientific innovations and technological improvements contributed to,a country can export foods and have a remarkable income of this way.,Scientific innovations and technological improvements contributed to export foods and have a remarkable income of this way.
"working on an ordered group, direct to faster, cheaper, and more efficient production.","after industrial revolution, factories employed people to work on an organized production team.",working on an ordered group,to work on an organized production team.,", direct to faster, cheaper, and more efficient production.","after industrial revolution, factories employed people ","after industrial revolution, factories direct to faster, cheaper, and more efficient production."
creating steel economically allowed us to build taller and more safe buildings and stronger vehicles.,Bessemer Process is a cheap process to create steel.,creating steel, create steel., economically allowed us to build taller and more safe buildings and stronger vehicles.,Bessemer Process is a cheap process to,Bessemer Process allowed us to build taller and more safe buildings and stronger vehicles.
penguin colonies lives in Antarctica are dependent on sea ices.,glacier conditions are in critical situation in Antarctica.,dependent on sea ices.,glacier conditions,penguin colonies lives in Antarctica are , are in critical situation in Antarctica.,penguin colonies lives are in a critical situation in Antarctica.
Global warming increases the melting of the Antarctic Ice sheet.,Turning Antarctic glazes to water raises sea levels remarkably., melting of the Antarctic Ice sheet.,Turning Antarctic glazes to water,Global warming increases the, raises sea levels remarkably.,Global warming raises sea levels.
Children's television advertisements make kids to annoy their parents.,mothers who are bothered by their children tend to have depression.,kids to annoy their parents.,mothers who are bothered by their children,Children's television advertisements make , tend to have depression.,Children's television advertisement make parents to have depression.
placing pressure on endangered species can gradually destroy the environmental resources.,Tourism puts enormous stress on endangered species.,placing pressure on endangered species ,puts enormous stress on endangered species.,can gradually destroy the environmental resources.,Tourism ,Tourism can gradually destroy the environmental resources.
growing sources can contribute to the preservation of culture and cultural sites.,The introduction of tourists to sensitive areas can increase resources.,growing sources,can increase resources., can contribute to the preservation of culture and cultural sites.,The introduction of tourists to sensitive areas ,The introduction of tourists to sensitive areas can contribute to the preservation of culture and cultural sites
washing incerases water disposal.,The required water for laundry is increased in the tourism season.,washing,The required water for laundry, incerases water disposal., is increased in the tourism season.,water disposal increases in tourism season.
Noise pollution has the capacity to disturb wildlife.,Animal extinction is a result of threatening flora and fauna.,disturb wildlife.,threatening flora and fauna.,Noise pollution has the capacity to ,Animal extinction is a result of ,Noise pollution has the capacity to animal extinction
Tourist activities can lead to sound contamination.,Noise pollution has the capacity to animal extinction,lead to sound contamination.,Noise pollution,Tourist activities can , has the capacity to animal extinction,Tourist activities has the capacity to animal extinction
Most tourists of the Pacific ocean do underwater-diving.,diving mostly can change the local ecology., do underwater-diving.,diving,Most tourists of the Pacific ocean, mostly can change the local ecology.,most tourists of Pacific ocean can change the local ecology.
Widening paths contribute to damage or removal of vegetation.,"With the presence of obstacles such as fallen trees, trails become extended.",Widening paths,trails become extended., contribute to damage or removal of vegetation.,"With the presence of obstacles such as fallen trees, ","presence of obstacles such as fallen trees, contribute to damage or removal of vegetation."
Tourism can act as a vector in the spread of non-native species.,Foreign species can harm the natural ecosystem.,spread of non-native species.,Foreign species,Tourism can act as a vector in the , can harm the natural ecosystem.,Tourism can act as a vector in harming the natural ecosystem.
Imported herbs can change the natural plants in an ecosystem.,taking care in removing seeds from shoes and pants after hiking can decrease the spread of non-native species.,Imported herbs, the spread of non-native species, can change the natural plants in an ecosystem.,taking care in removing seeds from shoes and pants after hiking can decrease.,taking care in removing seeds from shoes and pants after hiking can decrease the changing natural plants in an eco-system.
Mammals who are stressed and have a high heart rate tend to have more severe illnesses.,The mere presence of humans and viewing animals can increase the heart rate and stress hormones of all kind of animals.,Mammals who are stressed and have a high heart rate,increase the heart rate and stress hormones of all kind of animals., tend to have more severe illnesses.,The mere presence of humans and viewing animals can ,The mere presence of humans and viewing animals can increase severe illnesses in mamals.
the tourism industry produces ever-increasing quantity of global greenhouse gasses (GHG) .,Carbon dioxide production increases can contribute to global warming.,produces ever-increasing quantity of global greenhouse gasses (GHG) .,Carbon dioxide production increases,the tourism industry , can contribute to global warming.,the tourism industry can contribute to global warming.
increasing the average global weather degrees makes oceans to warm.,As a result of the accumulation of GHGs the annual average global temperature is rising each year.,increasing the average global weather degrees,the annual average global temperature is rising, makes oceans to warm.,As a result of the accumulation of GHGs  each year.,As a result of the accumulation of GHGs the oceans are warming every year.
Acidification in the Pacific Northwest can kill all kinds of sea insects.,sea butterflies make up a significant portion of the salmon diet., all kinds of sea insects.,sea butterflies,Acidification in the Pacific Northwest can kill, make up a significant portion of the salmon diet.,acidification in Pacific Northwest can kill a significant portion of the salmon diet.
Creating a market is a way to cure poverty.,One positive aspect of commodification is the creation of business and jobs for local craftsmen.,Creating a market,creation of business and jobs, is a way to cure poverty.,One positive aspect of commodification is the  for local craftsmen.,comodification is a way of curing poverty for local craftsmen.
A society with alcoholism has a decline in social stability.,increasing tourism will lead to drug addiction and crime.,A society with alcoholism,drug addiction, has a decline in social stability.,increasing tourism will lead to  and crime.,increasing tourism will lead to decline in social stability.
Dehydrated leaves fall on the ground in autumn.,People enjoy walking on dried plants on the street.,Dehydrated leavesfall on the ground ,dried plants on the street., in autumn.,People enjoy walking on ,poepole enjoy walking in autumn.
The rain can make everything slippery and humid.,Cats don't like to be wet and smooth.,make everything slippery and humid.,be wet and smooth.,The rain can ,Cats don't like to ,cats don't like the rain.
Variations in the communicative actions and attitudes of teenagers can result in traditional value systems.,Tourism changes the social behavior of the younger members of a host community.,Variations in the communicative actions and attitudes of teenagers ,changes the social behavior of the younger members of a host community.,can result in traditional value systems.,Tourism ,Tourism can change traditional value systems of a host community.
"transport is a major user of energy, burning most of the world's petroleum.",Regions with a high amount of burning oil tend to have severe air pollution.,,,"transport is a major user of energy, burning most of the world's petroleum.",Regions with a high amount of burning oil tend to have severe air pollution.,transport is a major cause of air pollution.
Energy efficiency will be increased if people reduce personal car use.,Environmental regulations in developed countries have reduced the individual vehicle's emission.,,,Energy efficiency will be increased if people reduce personal car use.,Environmental regulations in developed countries have reduced the individual vehicle's emission.,Environmental regulations in developed countries have reduced personal car use.
environmental impacts of transport systems include automobile-oriented urban sprawl.,Mechanical life consumes natural habitat and agricultural lands.,automobile-oriented urban sprawl.,Mechanical life,environmental impacts of transport systems include , consumes natural habitat and agricultural lands.,environmental impacts of transport systems include consuming natural habitat and agricultural lands.
students who tend to get good marks tend to have a tutor.,parents spend a lot of money on private education in progressive countries.,students have a tutor.,private education, who tend to get good marks tend to,parents spend a lot of money on  in progressive countries.,parents spend a lot of money on getting good marks in progressive countries.
the tendency to get good grades make children study from morning until night.,people who study from morning till night can't socialize well.,study from morning until night.,who study from morning till night,the tendency to get good grades make children ,people  can't socialize well.,the tendency for getting good grades make children can't socialize well.
Countries with advanced schooling and training have a better culture.,technology has brought many great developments in education.,with advanced schooling and training ,developments in education.,Countries have a better culture.,technology has brought many great ,technology has brought many great developments in culture.
technology is making education more stressful.,Kids who are more agitated and unstable in learning tend to give up school.,making education more stressful.,Kids who are more agitated  in learning ,technology is ,and unstabletend to give up school.,technology is making children give up school.
school is a place that you can find friends.,children become more socialize by making friends and companions.,can find friends.,making friends and companions.,school is a place that you ,children become more socialize by ,school is a place that children can become more socialize.
Jobless people have a tendency for drug addiction.,wrong impression about technical or vocational education leads to unemployment.,Jobless people,unemployment, have a tendency for drug addiction.,wrong impression about technical or vocational education leads to .,wrong impression about technical or vocational education leads to a tendency for drug addiction.
The problem of unemployment gives rise to the problem of poverty.,"To get rid of the stress of being out of job, people accept alcohol or pills.",The problem of unemployment,being out of job, gives rise to the problem of poverty.,"To get rid of the stress of , people accept alcohol or pills.","To get rid of the stress of possible problem of poverty, people accept alcohol or pills."
By technology enhancement companies are hiring few people to operate the machine.,due to the advanced technology only one person can do many people¡¯s work.,By technology enhancement,due to the advanced technology , companies are hiring few people to operate the machine.,only one person can do many people¡¯s work.,"when only one person can do many people¡¯s work, companies are hiring few people to operate the machine."
Unemployed youths accept suicide as the last option of their life,Committing self-destruction by teenagers spreads depression in society.,suicidelast option of their life,Committing self-destruction by teenagers ,Unemployed youths accept  as the ,spreads depression in society.,Unemployed youths spreads depression in society.
Ongoing lack of sleep can lead to excessive mental difficulties.,people who have thinking challenges are subject to divorce .,excessive mental difficulties.,who have thinking challenges,Ongoing lack of sleep can lead to ,people  are subject to divorce .,ongoing lack of sleep can lead to divorce.
irregular concentration ability disrupts the capability to focus on environmental sensory input,Sleep loss alters normal functioning of attention.,irregular concentration ability,altersnormal functioning of attention., disrupts the capability to focus on environmental sensory input,Sleep loss  ,Sleep loss distrupts the capability to focus on environmental sensory input
Children and young adults are most vulnerable to the negative effects of sleep deprivation.,Sleep loss can be a symptom of an undiagnosed sleep disorder.,sleep deprivation.,Sleep loss ,Children and young adults are most vulnerable to the negative effects of ,can be a symptom of an undiagnosed sleep disorder.,Children and young adults are most vulnerable to the negative effects of an undiagnosed sleep disorder
students with trouble in understanding new ideas and theories get lower grades,Ongoing sleep loss leads to difficulty in learning new concepts.,with trouble in understanding new ideas and theories,difficulty in learning new concepts.,students  get lower grades,Ongoing sleep loss leads to ,students with ongoing sleep loss get lower grades
a person who has a weak immune system takes longer to recover from illness .,Not getting enough sleep prevents the body from strengthening the immune system.,a personwho has a weak immune system ,prevents the body from strengthening the immune system., takes longer to recover from illness .,Not getting enough sleep ,Not getting enough sleep leads to take longer to recover from illness
change in nature of nap and resting alters the breathing pattern.,Sleep disorder alters the nature of sleeping and relaxing.,change in nature of nap and resting ,altersthe nature of sleeping and relaxing.,alters the breathing pattern.,Sleep disorder  ,Sleep disorder alters the breathing pattern
Sleep deprivation can also result in an increased risk of new and advanced respiratory illnesses.,Some of the respiratory diseases may contribute to breathing failure without any obvious obstruction.,respiratory illnesses., respiratory diseases,Sleep deprivation can also result in an increased risk of new and advanced ,Some of the may contribute to breathing failure without any obvious obstruction.,Sleep deprivation can also result in an increased risk of new and advanced breathing failure without any obvious obstruction.
increase in Insulin leads to raised fat storage and a higher risk of type 2 diabetes.,Sleep deprivation contributes to the release of insulin.,increase in Insulin , the release of insulin.,leads to raised fat storage and a higher risk of type 2 diabetes.,Sleep deprivation contributes to,Sleep deprivation contributes to fat storage and a higher risk of type 2 diabetes
Sleep helps the heart vessels to cure and repair.,healing and rebuilding cardiac veins maintain blood pressure and sugar levels as well as inflammation control,helps the heart vessels to cure and repair.,healing and rebuilding cardiac veins,Sleep , maintain blood pressure and sugar levels as well as inflammation control,Sleep helps to maintain blood pressure and sugar levels as well as inflammation control
"children who doesn't have a proper growth hormones release, don't grow well.","Insufficient sleep can disturb hormone production, including growth hormones.","doesn't have a proper growth hormones release,",disturb hormone productiongrowth hormones.,children who  don't grow well.,"Insufficient sleep can , including ","children who doesn't have sufficient sleep, don't grow well"
calming the body is an effective method to enhance sleep,Progressive muscle relaxation involves tensing and unsensing different muscles in the body to help soothe the body.,calming the body,soothe the body., is an effective method to enhance sleep,Progressive muscle relaxation involves tensing and unsensing different muscles in the body to help ,Progressive muscle relaxation involves tensing and untensing different muscles in the body to enhance sleep.
Treating sleep deprivation enhances people's life quality.,The treatment for sleep deprivation is to satisfy biological sleep needs.,Treating sleep deprivation,The treatment for sleep deprivation , enhances people's life quality.,is to satisfy biological sleep needs.,satisfying the biological sleep needs enhances people's life quality.
Sleep deprivation weakens the ability of a part of the brain known as the prefrontal cortex.,"people who have problems with prefrontal cortex, have abnormal processing of emotions.",weakens the ability of a part of the brain known as the prefrontal cortex.,people who have problems with prefrontal cortex,Sleep deprivation ,", have abnormal processing of emotions.",Sleep deprivation weakens the ability of emotion processing.
Sleep appears to be necessary to prepare the brain for learning.,People who deal with chronic illnesses can't sleep or nap.,Sleep , can't sleep or nap.,appears to be necessary to prepare the brain for learning.,People who deal with chronic illnesses,"People who deal with chronic illnesses, can't prepare their brain for learning."
The problem in hormones related to growth and desire makes the patient fat.,"When we stay awake all night, the body does not release the hormones necessary to regulate growth and appetite",The problem in hormones related to growth and desire , not release the hormones necessary to regulate growth and appetite,makes the patient fat.,"When we stay awake all night, the body does","When we stay awake all night, body tends to become fat"
"problem in psychological function, can lead to a reduction in the tendency to think positively.",Sleep loss can have a profound impact on emotional function.,"problem in psychological function,",have a profound impact on emotional function., can lead to a reduction in the tendency to think positively.,Sleep loss can ,Sleep loss can lead to a reduction in tendency to think positively.
Being apathetic makes people alone.,Problems in normal thinking abilities can lead to intolerance and less empathy toward others.,Being apathetic,intolerance and less empathy toward others., makes people alone.,Problems in normal thinking abilities can lead to ,problems in normal thinking abilities can lead to be alone.
Sleep-deprived people are more likely to report increased feelings of worthlessness,People who overthink about their difficulties tend to be sleep-loss.,Sleep-deprived people , be sleep-loss.,are more likely to report increased feelings of worthlessness,People who overthink about their difficulties tend to,people who think too much about their problems are more likely to report increased feelings of worthlessness
Dispute with employer contributes to poor job performance.,Sleep-deprived people are more likely to conflict with co-workers.,Dispute with employer,to conflict with co-workers., contributes to poor job performance.,Sleep-deprived people are more likely ,Sleep-deprived people are more likely to have poor job performance.
Nervous people have weak work production.,poor job performance can contribute to poverty.,have weak work production.,poor job performance ,Nervous people ,can contribute to poverty.,nervousness can contribute to poverty.
The brain obtains short sleep attacks called microsleeps to balance the demand for resting.,"After around 16 hours of staying awake, the body attempts to balance the need for sleep.", to balance the demand for resting.,to balance the need for sleep.,The brain obtains short sleep attacks called microsleeps,"After around 16 hours of staying awake, the body attempts ","After around 16 hours of staying awake, the body attempts to obtain short sleep attacks called microsleeps."
"If a person does not get enough sleep, the brain obtains microsleeps.",microsleeps during driving can be catastrophic., obtains microsleeps.,microsleeps ,"If a person does not get enough sleep, the brain",during driving can be catastrophic.,Driving if a person does not get enough sleep can be catastrophic.
Controlling stress automatically can contribute to better health.,Deep sleep seems to be a natural anxiety inhibitor.,Controlling stress automatically, be a natural anxiety inhibitor., can contribute to better health.,Deep sleep seems to,Deep sleep seems to contribute to a better health
Rising heartbeat leads to breathing shortly.,Stress contributes to physiological changes such as an increased heart rate.,Rising heartbeat, increased heart rate., leads to breathing shortly.,Stress contributes to physiological changes such as an,Stress contributes to physiological changes such as breathing shortly.
People who are stressed out all the time tend to have respiratory problems.,anxiety is more common in females than in males.,who are stressed out ,anxiety ,People all the time tend to have respiratory problems.,is more common in females than in males.,women tend to have more respiratory problems than males.
Doctors suggest relaxation techniques to manage feelings and sentiments.,being unable to control emotions leads to shortness of breath., manage feelings and sentiments.,being unable to control emotions,Doctors suggest relaxation techniques to, leads to shortness of breath.,doctors suggest relaxation techniques to manage shortness of breath.
People who try to decrease stress may feel that it helps provide emotional balance.,Some doctors may recommend diaphragmatic breathing to help people reduce anxiety.,try to decrease stress ,help reduce anxiety.,People who may feel that it helps provide emotional balance.,Some doctors may recommend diaphragmatic breathing to people ,Some doctors may recommend diaphragmatic breathing to help people provide emotional balance.
Being incapable of controlling feelings and thoughts could be made by something like a drop in blood sugar.,not being able to control your emotions can interfere with your daily life.,Being incapable of controlling feelings,not being able to control emotions, and thoughts could be made by something like a drop in blood sugar.,your  can interfere with your daily life.,something like a drop in blood sugar can interfere with your daily life.
people with bipolar disorder are unable to control emotions.,people who can not control their feelings tend to intense anxiety and irritability ., unable to control emotions.,can not control their feelings,people with bipolar disorder are,people who  tend to intense anxiety and irritability .,people with bipolar disorder tend to intense anxiety and irritability.
problems in controlling feelings can harm your relationship,People with borderline personality disorder have issues managing moods,problems in controlling feelings,have issues managing moods, can harm your relationship,People with borderline personality disorder ,People with borderline personality disorder can harm their relationships
Loneliness can worsen the ability to regulate emotions,People who can't control their feelings can't communicate well with co-workers., to regulate emotions, control their feelings,Loneliness can worsen the ability,People whocan't  can't communicate well with co-workers.,Loneliness can worsen the ability to communicate well with co-workers
People with a gap in their personality will engage in all sorts of activities to try and fill their void.,Those with BPD often experience chronic feelings of emptiness.,People with a gap in their personality, experience chronic feelings of emptiness., will engage in all sorts of activities to try and fill their void.,Those with BPD often,Those with BPD often experience engaging in all sorts of activities to try and fill their void.
Missing friends makes people sad.,Problems in regulating emotions can lead to loss of friends.,Missing friends, loss of friends., makes people sad.,Problems in regulating emotions can lead to,Problems in regulating emotions can lead to sadness.
Individuals with Borderline Personality Disorder often are afraid of being alone.,Being frightened of loneliness contributes to intense paranoia., are afraid of being alone.,Being frightened of loneliness,Individuals with Borderline Personality Disorder often, contributes to intense paranoia.,Borderline Personality Disorder often contributes to intense paranoia
Unordered activities hurt your relationships significantly.,"lack of the ability to regulate your emotions appropriately, leads to disruptive behaviors.",Unordered activities, leads to disruptive behaviors., hurt your relationships significantly.,"lack of the ability to regulate your emotions appropriately,","lack of the ability to regulate your emotions appropriately, hurt your relationships."
psychotherapy teaches you appropriate reactions.,Having proper responses helps you in your interpersonal relationships and daily life.,teaches  appropriate reactions.,Having proper responses,psychotherapy you, helps you in your interpersonal relationships and daily life.,psychotherapy helps you in your interpersonal relationships and daily life.
Emotional skill is a factor of our internal knowledge.,business decisions often rely on the interpersonal understanding,internal knowledge., interpersonal understanding,Emotional skill is a factor of our ,business decisions often rely on the,business decisions often rely on emotional skills.
One of the first steps toward utilizing emotional intelligence skills is to be aware of yourself.,"self-awareness involves knowing different aspects of yourself, including your personal feelings.", be aware of yourself.,self-awareness ,One of the first steps toward utilizing emotional intelligence skills is to,"involves knowing different aspects of yourself, including your personal feelings.","One of the first steps toward utilizing emotional intelligence skills is knowing different aspects of yourself, including your emotions and feelings"
People who adjust well to the evolving circumstances wait for appropriate ways to express their emotions rather than just reacting impulsively at the moment.,People who possess good self-regulation are able to adapt well to changing situations.,People who adjust well to the evolving circumstances,are able to adapt well to changing situations., wait for appropriate ways to express their emotions rather than just reacting impulsively at the moment.,People who possess good self-regulation ,People who possess good self-regulation wait for appropriate ways to express their emotions rather than just reacting impulsively at the moment.
releasing stresses of workplace contributes to boosting work performance.,Having hobbies outside of work is a great way to clear out our anxieties and concerns.,releasing stresses of workplace , clear out anxieties and concerns.,contributes to boosting work performance.,Having hobbies outside of work is a great way toour ,Having hobbies outside of work is a great way to boost work performance.
Communicating abilities lead to better relations with other people.,people with high EQs have strong social skills.,Communicating abilities,have strong social skills., lead to better relations with other people.,people with high EQs ,people with high EQs have better relations with other people. .
people with high EQs are adept at recognizing other people's emotions,Smart and brilliant people at emotions recognition can respond appropriately to different situations., adept at recognizing other people's emotions,Smart and brilliant people at emotions recognition ,people with high EQs are,can respond appropriately to different situations.,people with high EQs are able to respond appropriately to the different situation.
Overfishing can destroy the marine ecology.,aquatic environment destruction leads to completely disrupting the food chain .,destroy the marine ecology.,aquatic environment destruction ,Overfishing can ,leads to completely disrupting the food chain .,Overfishing can lead to completely disrupting the food chain
"As pressure from fishing grows, the likelihood of damage to the structure and function of the ocean ecosystem increases.",Overpopulation raises the need and demand for fishing., pressure from fishing grows, raises the need and demand for fishing.,"As, the likelihood of damage to the structure and function of the ocean ecosystem increases.",Overpopulation,overpopluation raises the likelihood of damage to the structure and function of the ocean ecosystem
Decades of destructive fishing has resulted in the precipitous decline of key fish stocks.,The decline in crucial fish commodities results in a threat for large fishes., the precipitous decline of key fish stocks.,The decline in crucial fish commodities,Decades of destructive fishing has resulted in, results in a threat for large fishes.,Decades of destructive fishing has resulted in a threat for large fishes
Overfishing leads to a decrease in the population of productive fish.,The reduction in the community of fruitful fish results in the lesser stocking of the fish., decrease in the population of productive fish.,The reduction in the community of fruitful fish,Overfishing leads to a, results in the lesser stocking of the fish.,Overfishing leads to lesser stocking of the fish
catching of essential predators such as sharks results in increased numbers of smaller marine animals,Rising in the population of tiny aquatic creatures may lead to ecological disasters., results in increased numbers of smaller marine animals,Rising in the population of tiny aquatic creatures ,catching of essential predators such as sharks,may lead to ecological disasters.,catching of essential predators such as sharks may lead to ecological disasters.
"When you smoke, the poisons from the tar in your cigarettes enter your blood",Toxins of the resin in cigarettes make your blood vessels thicker.,the poisons from the tar in  cigarettes enter your blood,Toxins of the resin in cigarettes blood,"When you smoke, your",make your  vessels thicker.,smoking make your blood vessels thicker.
smoking increases your blood pressure and heart rate,high cardiac rhythm makes your heart work harder than normal,increases  blood pressure and heart rate,high cardiac rhythm ,smoking your,makes your heart work harder than normal,smoking makes your heart work harder than normal
People who have thin arteries suffer from reducing the amount of oxygen-rich blood circulating to your organs.,smoking may narrows your arteries,have thin arteries ,narrows arteries,People who suffer from reducing the amount of oxygen-rich blood circulating to your organs.,smoking may your ,people who smoke may suffer from reducing the amount of oxygen-rich blood circulating to your organs.
smoke increase the chance of your arteries narrowing and clots forming,Arteries contraction can lead to a heart attack or stroke., arteries narrowing and clots forming,Arteries contraction ,smoke increase the chance of your,can lead to a heart attack or stroke.,smoking can lead to a heart attack or stroke.
A brain attack can cause severe damages and even death to people.,smoking increases the risk of having a brain stroke,A brain attack ,a brain stroke,can cause severe damages and even death to people.,smoking increases the risk of having ,smoking increases the risk of having a severe damages and even death to people.
disturbance in blood flow increases the risk of conditions such as coronary heart disease and heart attack .,Smoking damages your blood circulation,disturbance in blood flow, damages blood circulation, increases the risk of conditions such as coronary heart disease and heart attack .,Smokingyour ,smoking increases the risk of conditions such as coronary heart disease and heart attack
"when the heart beats quicker, the probability of peripheral vascular disease increases.",Carbon monoxide from the smoke and nicotine both put a strain on the heart by making it work faster., the heart beats quicker,making it work faster.,"when, the probability of peripheral vascular disease increases.",Carbon monoxide from the smoke and nicotine both put a strain on the heart by ,Carbon monoxide from the smoke and nicotine both increase the probability of peripheral vascular disease
Chronic bronchitis and narrow emphysema airways destruct lung tissue.,Smoking leads to constant bronchitis and emphysema.,Chronic bronchitis and emphysema ,constant bronchitis and emphysema.,narrow airways destruct lung tissue.,Smoking leads to ,smoking destruct lung tissue.
a weak flesh at the end of the throat may allow acid from the stomach to travel in the wrong direction back up your gullet,Smoking can impair the muscle that controls the lower end of your neck.,a weak flesh at the end of the throat,muscle that controls the lower end of your neck., may allow acid from the stomach to travel in the wrong direction back up your gullet,Smoking can impair the ,Smoking can make acid from the stomach to travel in the wrong direction back up your gullet
Smoking reduces the amount of oxygen that gets to your skin.,"if the skin gets less oxygen, your skin ages more quickly and looks grey and dull",reduces the amount of oxygen that gets to your skin.,the skin gets less oxygen,Smoking ,"if , your skin ages more quickly and looks grey and dull",smoking make your skin ages more quickly and looks grey and dull
Smoke carries poisons and venoms into the body.,The toxins in your body cause cellulite., carries poisons and venoms into the body.,The toxins in your body,Smoke, cause cellulite.,smoking cause cellulite.
Smoking can make your bones to become weak,People with fragile bones are more likely to Osteoporosis.,make bones to become weak,People with fragile bones ,Smoking can your ,are more likely to Osteoporosis.,Smoking can make you more likely to Osteoporosis
"when you smoke, your family still breathes in harmful poisons.","Toxins made by smoking can put the smeller at risk of meningitis, cancer, bronchitis, and pneumonia.",smokeyour still breathes in harmful poisons.,Toxins made smoking the ,"when you , ","by can put at risk of meningitis, cancer, bronchitis, and pneumonia.","when you smoke, you can put your family at risk of meningitis, cancer, bronchitis and pneumonia."
"Every time a child breathes in secondhand smoke, they breathe in thousands of chemicals.",Breathing in compounds of any kind of soot puts people at risk of severe health conditions.,breathe in thousands of chemicals.,Breathing in compounds of any kind of soot ,"Every time a child breathes in secondhand smoke, they ",puts people at risk of severe health conditions.,"Every time a child breathes in secondhand smoke, they are put at risk of serious health conditions"
stopping smoking can contribute to delivering more oxygen to skin,skin looks better when it recieves more oxygen,delivering more oxygen to skin,it recieves more oxygen,stopping smoking can contribute to ,skin looks better when ,"By stopping smoking, skin looks better."
people who don't have a proper understanding of flavoring can't enjoy the taste of foods anymore.,smoking can disturb sense of taste.,don't have a proper understanding of flavoring , disturb sense of taste.,people who can't enjoy the taste of foods anymore.,smoking can,people who smoke can't enjoy the taste of foods anymore.
"Nowadays, some plant species are popular with modern gardeners as a putatively succulence.",succulence species are able to survive in areas of low natural rainfall,plant species putatively succulence.,succulence species,"Nowadays, some  are popular with modern gardeners as a", are able to survive in areas of low natural rainfall,"Nowadays, some plant species are popular with modern gardeners as species that are able to survive in areas of low natural rainfall"
antihistamine use increases drowsiness.,sleepiness can raise the risk of accident for people who drive, increases drowsiness.,sleepiness ,antihistamine use,can raise the risk of accident for people who drive,antihistamine use increases the risk of accident for people who drive
Bad economic status puts pressure on people to work prolonged.,working long hours can contribute to Somnolence .,to work prolonged.,working long hours ,Bad economic status puts pressure on people ,can contribute to Somnolence .,bad economical status puts pressure on people that can contribute to Somnolence .
Sleeping with low-quality can disturb the performance of workers.,Employees who work for extended hours are likely to have more inadequate sleep.,Sleeping with low-quality , have more inadequate sleep.,can disturb the performance of workers.,Employees who work for extended hours are likely to,employees who work for extended hours are likely to have disturbance performance.
Mental wellness difficulties typically make eating disorders.,Workers with long working hours tend to have weak psychic health.,Mental wellness difficulties, have weak psychic health., typically make eating disorders.,Workers with long working hours tend to,workers with long working hours typically tend to have eating disorders
there is an increase in anxiety among those female workers working more than 55 hours per week,people who tend to be stressed out may have chest pain in the future, increase in anxiety among those female workers,people who tend to be stressed out,there is an working more than 55 hours per week, may have chest pain in the future,those female workers who work more than 55 hours per week may have chest pain in the future
failing to eat the right amount of nutritious food is one of the symptoms of depression,every increase in weekly working hours is associated with a raises in distress and anxiety symptoms for workers., the symptoms of depression, raises in distress and anxiety symptoms ,failing to eat the right amount of nutritious food is one of,every increase in weekly working hours is associated with afor workers.,every increase in weekly working hours is associated with increase in failing to eat the right amount of nutritious food
"Major depressive disorder can negatively change a person's personal life, work life, or education.",People may also occasionally have false beliefs that can lead to gloom and despair.,Major depressive disorder ,can lead to gloom and despair.,"can negatively change a person's personal life, work life, or education.",People may also occasionally have false beliefs that ,"occasionally false beliefs can negatively change a person's personal life, work life, or education."
some adults with significant hopelessness and despair die by suicide.,genetic and psychological factors can lead to major depressive disorder .,with significant hopelessness and despair , major depressive disorder .,some adults die by suicide.,genetic and psychological factors can lead to,genetic and psychological factors can lead some adults to suicide
Psychologists usually regard self-esteem as an enduring personality characteristic.,Permanent features influence our behavior in many situations.,an enduring personality characteristic.,Permanent features,Psychologists usually regard self-esteem as , influence our behavior in many situations.,Psychologists usually regard self-esteem as a characteristic that influences our behaviour across many situations.
The energy policy of the United States addresses issues of energy production,solving energy production problem is done to ensure America's security and prosperity ., the United States addresses issues of energy production,solving energy production problemAmerica,The energy policy of, is done to ensure 's security and prosperity .,The energy policy of the United States ensures America's security and prosperity
Pain that lasts a long time is chronic or persistent.,An ankle sprain can contribute to a long period of suffering.,Pain that lasts a long time, long period of suffering., is chronic or persistent.,An ankle sprain can contribute to a,ankle sprain can contribute to chronic pain
